"","IsabelSI-South","PNG","Malaysia","In-water, CA","Bird's Head-Summer","Bird's Head-Winter","In-water, Indonesia","HaevoSI-Winter","HaevoSI-Summer"
"z0016885",0.000235362706288448,1.2236463181093e-06,0.999751867628884,1.71972104548223e-07,6.59054616643988e-06,2.05405320250371e-07,1.19789322419013e-08,1.52567770722463e-06,3.04043827857589e-06
"z0016886",0.00637085901122939,8.90334804280939e-05,0.993408998857694,6.37570284562103e-06,8.56376804621979e-05,1.60604409368226e-05,2.69258746176669e-07,2.12983613965013e-06,2.06357315179597e-05
"z0016887",0.0166248697667398,0.000167050673321286,0.98227508034305,1.75536345092432e-05,0.000681124475916662,8.32308134988633e-05,8.86680266886746e-06,1.0639087220442e-06,0.000141159581573376
"z0016888",0.000202210890179172,1.03040257528338e-05,0.995385251707457,2.07172972398791e-05,0.00387486244057417,0.000174511182701111,8.17067226355341e-05,0.000136642343287596,0.000113793390173017
"z0026450",0.0946989508148234,0.0199041141975212,5.08791846086167e-10,0.117312075749557,0.708436107255425,0.0454978660829458,0.00182252789526283,0.0112729045773371,0.00105545291833594
"z0026451",0.10468856980077,0.316367281377776,0.000173823453741906,0.025001633036228,0.482992590244375,0.0250855661881399,0.000191615764086976,0.0222498939411637,0.0232490261937184
"z0026452",0.267174101963716,0.325787216524019,0.0100263764287632,0.114760286835348,0.249411656019677,0.0199049109097941,0.00246363627052173,0.00880429904355587,0.00166751600460483
"z0026456",0.00535574213502321,0.956099519518175,0.00141613344356571,0.0169156839730239,0.0138352835890979,0.00548744089728964,3.0591643243432e-07,5.98004474463881e-05,0.000830090079946222
"z0026457",0.0416776938699374,0.792590720301253,9.0724853360811e-08,0.0519448875762988,0.0708176784839017,0.040213193506013,2.90452844854444e-05,0.000740535742940832,0.00198615451031658
"z0026458",0.0991049715458351,0.127487292089896,2.45296858780019e-05,0.192133108229553,0.543203959514297,0.0258014592572461,0.00179556045749067,0.0101294733564231,0.000319645863381589
"z0032021",0.0424924173405005,0.715246931462469,1.68382206760824e-08,0.092232577855267,0.129025805441373,0.000207105815891999,0.000542279612832066,0.0191269935284734,0.00112587210497212
"z0032022",0.800712778690201,0.0365264104299863,0.000257363301821104,0.0193835131587287,0.125284866808434,0.00685824377302129,0.00287580033193832,0.00151879486878627,0.00658222863708294
"z0032023",0.0359237539898546,0.92068064454224,5.44773373370834e-05,0.0131728875627984,0.0185425287429042,0.00414856478215164,3.3711121814368e-06,0.000341870000095778,0.00713190193043694
"z0032024",0.136791229228969,0.706930696907714,0.000446616692773477,0.00434777724011836,0.0626096638407218,0.00715504159840069,7.53455266213809e-06,0.00017174393351742,0.0815396960051227
"z0032031",0.14980922976022,0.18812742916568,6.46499713082621e-08,0.0349365073305404,0.554002485893903,0.0620711787898859,0.00985376457811987,5.07185294767652e-05,0.00114862130220319
"z0035352",0.0892183259694024,0.040897511049204,1.34022499994312e-07,0.225963653003635,0.604643082252929,0.00329439654593707,0.00149786917576118,0.0343686146385402,0.000116413342090849
"z0037412",0.159279402217187,0.254254228864119,1.98269848487959e-05,0.182360312288269,0.35710883773999,0.027641677473425,8.66133182552024e-05,0.0127987343386788,0.00645036677522737
"z0037417",0.0652383417971481,0.00619469238123566,0.00187760677409209,0.0156929399291459,0.854110745382491,0.00116186809057243,0.00990516064071238,0.0397884542205525,0.00603019078405014
"z0037418",0.737528317207689,0.0415080883642453,5.6693089065166e-05,0.0649419817574236,0.0943022516269072,0.0040934000414339,0.0174155045732763,0.0386694921530542,0.00148427118690547
"z0037419",0.0295254729320412,0.00069537657771256,5.91455926648823e-05,0.0258909972217215,0.653863083296755,0.0150169047688701,0.225649449916625,0.0357705317139282,0.013529037979681
"z0037422",0.0273003621924183,0.00207309462861796,9.26725507734196e-07,0.0169961991652558,0.90697122694096,0.0240563195305318,0.00883745737404844,0.00450036703307069,0.00926404640958958
"z0037463",0.321100658103877,0.00140973050245219,0.000221760037351088,0.0103020792488618,0.56311662630842,0.0986725045729105,0.000990671519219268,0.00178780286879287,0.00239816683811527
"z0037464",0.322158667078206,0.00974639967601949,0.00537669644053021,0.0241940341916327,0.494273135976195,0.0135111875801619,0.0244142590083439,0.0987685172200625,0.00755710282884781
"z0037466",0.0690190789757576,0.0722294514010678,0.00230340992389358,0.0116020883270125,0.559283258958645,0.283740111314312,0.00144217971240762,0.00010071505501604,0.000279706331888518
"z0037467",0.130876621683408,0.0296672434440049,9.03669864330727e-07,0.106701018531457,0.694690259637116,0.0240581155865795,0.00386280201686518,0.00985065725628686,0.000292378174417525
"z0037468",0.0357912555730338,0.00538185347962208,0.000543397820889322,0.0734186372248198,0.826124666406251,0.0124089960383723,0.0447020377248849,0.00143685138428496,0.000192304347841448
"z0037471",0.273639656524103,0.00623170438265104,1.76698551167204e-07,0.25216084279132,0.422679480957568,0.0183074836703881,0.000599440149187388,0.0241492443326161,0.00223197049361535
"z0040942",0.118697887183654,0.535961976401565,7.00249634593469e-08,0.0357396234218194,0.216968177352089,0.0873907254987447,8.39682661536014e-07,0.00352861473607575,0.00171208569842774
"z0061457",0.747073109808543,0.00215745144266325,2.79624900889646e-05,0.0396358857575565,0.163432925434369,0.0029474278318773,0.0401929091815225,0.00434178876949727,0.000190539283881809
