"locus","stratum","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","num.snps"
"locus190","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.6,0.333333333333333,1
"locus191","In-water, Indonesia",1,2,0.333333333333333,2,2,2,1,0.333333333333333,1
"locus192","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.533333333333333,0.666666666666667,1
"locus195","In-water, Indonesia",2,1,0.666666666666667,2,1,1,0.5,0.333333333333333,1
"locus202","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.533333333333333,0.666666666666667,1
"locus210","In-water, Indonesia",2,1,0.666666666666667,2,1,0.5,0.666666666666667,0.666666666666667,1
"locus215","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.6,1,1
"locus227","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.6,0.333333333333333,1
"locus231","In-water, Indonesia",0,3,0,0,NA,NA,NA,0,1
"locus235","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
"locus236","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
"locus237","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,2
"locus239","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.533333333333333,0.666666666666667,1
"locus248","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
"locus255","In-water, Indonesia",0,3,0,0,NA,NA,NA,0,1
"locus256","In-water, Indonesia",2,1,0.666666666666667,2,1,1,0.5,0.333333333333333,1
"locus263","In-water, Indonesia",3,0,1,1,0.333333333333333,0,0,0,1
"locus264","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.533333333333333,0.666666666666667,1
"locus274","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
"locus280","In-water, Indonesia",2,1,0.666666666666667,2,1,1,0.5,0.333333333333333,1
