"","K1","K2","K3","K4","K5","K6","K7"
"z0117088",0.15984015984016,0.137862137862138,0.161838161838162,0.157842157842158,0.110889110889111,0.0979020979020979,0.173826173826174
"z0117094",0.168831168831169,0.147852147852148,0.14985014985015,0.144855144855145,0.0959040959040959,0.108891108891109,0.183816183816184
"z0117103",0.204204204204204,0.138138138138138,0.153153153153153,0.143143143143143,0.1001001001001,0.109109109109109,0.152152152152152
"z0134055",0.942,0.009,0.009,0.015,0.01,0.007,0.008
"z0134059",0.95,0.007,0.009,0.008,0.006,0.01,0.01
"z0134061",0.966966966966967,0.005005005005005,0.00600600600600601,0.00800800800800801,0.004004004004004,0.005005005005005,0.005005005005005
"z0134066",0.941058941058941,0.00899100899100899,0.010989010989011,0.011988011988012,0.00799200799200799,0.00699300699300699,0.011988011988012
"z0134070",0.972972972972973,0.005005005005005,0.00600600600600601,0.005005005005005,0.003003003003003,0.004004004004004,0.004004004004004
"z0134074",0.880641925777332,0.0270812437311936,0.0160481444332999,0.0150451354062187,0.0160481444332999,0.0130391173520562,0.0320962888665998
"z0134087",0.951,0.008,0.01,0.008,0.007,0.009,0.007
"z0134095",0.954,0.009,0.008,0.007,0.004,0.007,0.011
"z0134097",0.971971971971972,0.00700700700700701,0.005005005005005,0.004004004004004,0.003003003003003,0.005005005005005,0.004004004004004
"z0134098",0.955089820359281,0.00698602794411178,0.00898203592814371,0.00898203592814371,0.00499001996007984,0.00698602794411178,0.00798403193612774
"z0134101",0.956956956956957,0.00600600600600601,0.00800800800800801,0.00700700700700701,0.00700700700700701,0.00900900900900901,0.00600600600600601
"z0134108",0.963036963036963,0.00999000999000999,0.00699300699300699,0.00699300699300699,0.003996003996004,0.004995004995005,0.003996003996004
"z0134109",0.961,0.007,0.008,0.006,0.006,0.005,0.007
"z0134111",0.95004995004995,0.011988011988012,0.00899100899100899,0.00799200799200799,0.004995004995005,0.00799200799200799,0.00799200799200799
"z0134112",0.969939879759519,0.00501002004008016,0.00501002004008016,0.00400801603206413,0.00400801603206413,0.00501002004008016,0.00701402805611222
"z0134113",0.955044955044955,0.00799200799200799,0.00899100899100899,0.00799200799200799,0.004995004995005,0.00699300699300699,0.00799200799200799
"z0178009",0.159,0.148,0.148,0.154,0.106,0.121,0.164
"z0178011",0.16983016983017,0.133866133866134,0.157842157842158,0.148851148851149,0.0959040959040959,0.112887112887113,0.180819180819181
"z0178014",0.186,0.163,0.145,0.146,0.1,0.102,0.158
"z0207730",0.158,0.168,0.149,0.161,0.109,0.114,0.141
"z0207745",0.169338677354709,0.148296593186373,0.154308617234469,0.134268537074148,0.0991983967935872,0.119238476953908,0.175350701402806
"z0210588",0.17,0.138,0.151,0.159,0.106,0.108,0.168
"z0216904",0.003003003003003,0.004004004004004,0.005005005005005,0.656656656656657,0.32032032032032,0.005005005005005,0.00600600600600601
"z0216906",0.017017017017017,0.01001001001001,0.013013013013013,0.924924924924925,0.00700700700700701,0.01001001001001,0.018018018018018
"z0216907",0.008,0.006,0.009,0.954,0.007,0.006,0.01
"z0216913",0.011,0.011,0.01,0.942,0.009,0.007,0.01
"z0216918",0.012987012987013,0.00999000999000999,0.012987012987013,0.938061938061938,0.00699300699300699,0.00899100899100899,0.00999000999000999
"z0216926",0.00601202404809619,0.00801603206412826,0.947895791583166,0.00701402805611222,0.00601202404809619,0.00601202404809619,0.0190380761523046
"z0216927",0.013013013013013,0.00800800800800801,0.950950950950951,0.00900900900900901,0.00600600600600601,0.00800800800800801,0.005005005005005
"z0216928",0.01,0.006,0.951,0.011,0.006,0.008,0.008
"z0216930",0.00799200799200799,0.005994005994006,0.953046953046953,0.00799200799200799,0.00799200799200799,0.00699300699300699,0.00999000999000999
"z0216931",0.00900900900900901,0.00800800800800801,0.011011011011011,0.01001001001001,0.00600600600600601,0.00900900900900901,0.946946946946947
