Sample_idx1_idx2	DermGT_01	DermGT_05	DermGT_06	DermGT_10	DermGT_13	DermGT_15	DermGT_18	DermGT_22	DermGT_39	DermGT_43	DermGT_48	GT_14-5	GT_A1	GT_A6	GT_B116	GT_C102	GT_Cc1G02	GT_Cc5C08	GT_Cc5F01	GT_Cc5H07	GT_Cm3	GT_D1	GT_D115	GT_D8	GT_LB123	GT_LB133	GT_LB141	GT_LB142	GT_LB143	GT_LB145	GT_LB158	GT_Or2	GT_Or7	
	552	105	250	157	71	672	178	560	234	523	263	260	122	252	230	X	26	479	15	791	523	300	155	276	23	150	X	100	115	69	37	175	217
	691	74	301	124	66	450	87	910	163	512	171	217	112	262	156	X	13	645	26	1652	841	279	144	220	10	78	X	66	91	19	30	153	237
	738	79	300	108	112	483	100	931	159	433	191	228	93	266	203	X	8	557	32	1498	847	342	165	209	23	96	X	77	67	5	26	129	246
	688	78	282	111	58	504	103	812	205	497	181	228	120	274	169	X	7	573	19	1307	831	280	127	240	13	91	X	80	72	105	19	165	250
	9	1	2	4	X	11	2	11	10	15	4	1	4	5	4	X	5	13	X	X	X	4	2	X	X	1	X	X	X	X	X	X	1
	851	74	348	119	103	379	105	1274	159	468	213	277	86	315	171	X	15	657	38	2043	697	371	177	185	21	72	X	79	74	18	27	178	273
	887	259	479	366	70	896	398	721	439	982	609	95	409	485	388	X	57	749	13	440	579	558	119	351	8	145	X	108	172	121	71	89	170
	187	95	91	186	43	358	115	127	250	228	136	58	138	220	174	X	35	149	9	190	139	135	90	169	22	113	X	67	93	6	38	70	88
	29	15	29	19	1	39	17	48	34	44	27	6	14	30	22	X	3	46	X	26	11	16	1	13	X	4	X	8	4	8	8	1	13
	466	28	188	65	62	217	39	807	77	283	133	137	56	132	93	X	8	368	16	918	546	224	84	104	12	38	X	26	49	85	9	67	181
	148	52	48	66	1	194	53	124	125	80	88	31	58	54	69	X	13	160	2	67	13	91	25	26	3	10	X	14	10	9	7	12	17
	388	81	188	161	38	543	153	474	229	421	171	157	131	269	235	X	23	305	16	541	388	199	129	242	18	113	X	63	102	69	38	96	183
