"","IsabelSI-South","PNG","Malaysia","In-water, CA","Bird's Head-Summer","Bird's Head-Winter","In-water, Indonesia","HaevoSI-Winter","HaevoSI-Summer"
"z0061468",0.523919338023206,3.86366975619439e-05,3.73930432011264e-06,0.000703970567478233,0.157896546931031,0.306549366495123,3.15056811116519e-10,0.0107205483727597,0.000167853293462813
"z0062622",0.462248926727552,0.00021401276130348,2.45755298703422e-10,0.00347637779530031,0.2215200370721,0.0856691311386587,0.000206167645285936,0.0237919228299352,0.202873423784109
"z0062627",0.202183597939291,0.000312112352724192,1.19163285532856e-09,0.0048564202085435,0.517160179278459,0.274477220822909,1.500281700735e-09,0.00100835313333732,2.11357282106891e-06
"z0062630",0.0923307703107428,0.000588618168257261,3.49899087833111e-13,0.000199497631424981,0.38419335093769,0.511862678313256,3.1784529143397e-07,0.00922494316517792,0.001599823627809
"z0062632",0.263743297843426,0.000248213505063656,2.38939030250286e-12,0.00675456180156406,0.279572021162584,0.448844616944687,1.92744250369226e-06,0.00050801189218915,0.000327349405593594
"z0062634",0.0861613005136322,0.00615489986860312,1.26259417783669e-11,0.0135906774374617,0.226172170777322,0.65685974224279,1.06864757276678e-08,0.0110581806860013,3.01777508828798e-06
"z0062636",0.0306768346186693,0.000705149515864236,6.19544393748835e-12,0.00233389049303178,0.831527782970508,0.126211700100392,0.000194740624956056,0.00834930207849979,5.99591883424292e-07
"z0062680",0.217474072761099,0.000308475291369548,0.00172695861330702,0.000662680898245573,0.54775895895522,0.231902011387577,8.0279610240422e-08,1.4972913696738e-05,0.000151788899875949
"z0062681",0.237399926589796,0.00254604801044135,1.52586068191625e-08,0.000162536623773577,0.568913826473443,0.173157255012995,0.000183865451209944,0.0139429953177505,0.00369353126198439
"z0062684",0.120115329352617,0.0182961650131701,1.69514246105036e-09,0.0174975622128444,0.224281545158849,0.617531622504392,9.98652468528721e-06,0.0022614766638995,6.31087440011975e-06
"z0062686",0.121987652277751,0.00824892600824653,2.06013604020488e-07,0.00370801517612594,0.128724419048941,0.733524705346206,1.94692866019833e-05,0.0037831382869523,3.46855557180737e-06
"z0062687",0.0924254311971411,0.000620097310294399,2.87394907555122e-08,0.0101444122325142,0.344591051198881,0.541301055145409,4.14879192689952e-10,0.010889573668678,2.83500927115266e-05
"z0062690",0.400878520294927,0.0169702906390458,9.89960643577554e-11,0.137079655423405,0.086046691832271,0.33937230294827,1.03202950874791e-05,0.0194539887109006,0.000188229757096779
"z0062691",0.283775324498127,0.00501922556381093,7.3971431671861e-09,0.0110410723242988,0.0933655482443052,0.604900009306195,9.13052473288156e-12,0.00187319896494106,2.56136920487119e-05
"z0062692",0.0469909111354718,0.00044585311768778,1.39786226361928e-11,0.00138399465913634,0.185949701596998,0.765071680487166,1.23144961172253e-05,0.000142492496394738,3.05199704953936e-06
"z0062693",0.626319342763994,0.00891131674350464,6.41715807276045e-08,7.46455433975916e-05,0.00328847207070958,0.319823638077019,2.47701022257139e-10,0.0371891658922851,0.00439335448980797
"z0062694",0.139705954604946,0.0550450333828509,1.11105513557468e-10,0.148328043082909,0.311648527535953,0.344419785702286,2.22733721405702e-05,0.000823536796407622,6.84541140141268e-06
"z0062697",0.112574461642828,0.00223527824507529,8.70296302677446e-09,0.00138288911228593,0.186599765704115,0.691542519412671,2.08506486407702e-09,0.00238700885455199,0.00327806624044425
"z0062700",0.112599046752789,0.0817139233661927,1.27281998307449e-10,0.0362348340827361,0.311200924132729,0.336499181644506,0.00777344372446586,0.113978098189097,5.47980203468385e-07
"z0062701",0.372299208060005,0.193873776334977,2.16733071760069e-07,0.0329982899182543,0.285281353152779,0.099360315781197,0.000269622131355653,0.0159116115547996,5.60633356082469e-06
"z0062702",0.370510168806932,0.00065517681568131,6.0636115130089e-06,0.00283675998681163,0.255270412906919,0.347858764178951,1.61855806325509e-05,0.0228344412263297,1.20268862302273e-05
"z0062704",0.0465466581399565,8.82181323762924e-05,3.48556107234693e-07,9.76025799306847e-05,0.589973132269077,0.346896450030418,1.45325932894518e-07,0.0162967061924789,0.000100738773722813
"z0062707",0.0117975524537965,2.8446455772201e-05,2.66171004124321e-09,8.37963647570982e-05,0.208834381986104,0.778586437599278,8.74037005249198e-08,0.00062462345654799,4.46716183332962e-05
"z0062708",0.0244784307282729,8.39010422524566e-06,1.20717143966989e-11,0.00279223870704512,0.116425387911545,0.853090434183483,0.00140933057042161,0.00179157808577486,4.20969716072111e-06
"z0062709",0.0088373809265865,0.225692838884876,1.18660471503248e-09,0.000757495180593562,0.0991414600112997,0.663353807005619,2.27279232981452e-09,0.00177633064851367,0.000440683883114279
"z0062710",0.240384899148812,0.076835109964927,3.25808217989633e-09,0.0165745890484247,0.370914626440877,0.285690864782282,3.55251541334338e-07,0.00932832939224072,0.000271222712813216
"z0062712",0.064760459170967,0.00468713745790008,1.65764612030338e-09,0.0329379365924184,0.107229954646828,0.790251054461615,6.93327080748372e-09,0.000133096850558111,3.52228796774975e-07
"z0062715",0.132205412141873,0.000665552902808799,2.12043081742442e-08,0.0150221651177753,0.20358671262817,0.643537212392202,5.80366827720713e-05,0.00347281444345269,0.00145207248663751
"z0062716",0.0151177841336146,0.000222777735222296,5.58296512800958e-09,0.00332756425205959,0.413023244907547,0.567895859188136,0.000304649555093668,7.08499131787362e-05,3.72647321829739e-05
