"Locus.1","Locus.2","p.val.Bird's Head-Summer_adj","p.val.Bird's Head-Winter_adj","p.val.HaevoSI-Summer_adj","p.val.HaevoSI-Winter_adj","p.val.IsabelSI-South_adj","p.val.Malaysia_adj","p.val.PNG_adj","num.sig.adj.p"
"Dc08054","locus128",1,1,NA,1,1,NA,1,0
"Dc08054","locus129",1,1,1,1,1,NA,1,0
"Dc08054","locus130",1,NA,1,NA,1,NA,1,0
"Dc08054","locus134",1,1,NA,NA,0.900816,NA,1,0
"Dc08054","locus135",1,1,NA,1,1,NA,1,0
"Dc08054","locus137",1,1,NA,1,0.18491,NA,0.656464,0
"Dc08054","locus146",0.68017,1,1,1,0.251208,NA,1,0
"Dc08054","locus148",0.80284,1,NA,1,1,NA,1,0
"Dc08054","locus151",0.409104,NA,NA,1,0.80955,NA,1,0
"Dc08054","locus157",0.723388,NA,NA,NA,0.723388,NA,0.580446,0
"Dc08054","locus161",1,0.13191,NA,1,1,NA,1,0
"Dc08054","locus165",1,1,NA,NA,0.766312,NA,1,0
"Dc08054","locus170",1,1,NA,1,1,NA,1,0
"Dc08054","locus176",1,NA,NA,NA,0.444594,NA,1,0
"Dc08054","locus184",1,0.290448,1,1,1,NA,0.38491,0
"Dc08054","locus186",1,1,NA,1,1,NA,1,0
"Dc08054","locus188",1,1,NA,NA,1,NA,1,0
"Dc08054","locus189",1,1,NA,1,1,1,1,0
"Dc08054","locus190",1,1,NA,NA,1,1,1,0
"Dc08054","locus191",1,NA,NA,NA,1,1,1,0
"Dc08054","locus192",0.993016,0.91166,NA,NA,0.91166,0.91166,0.91166,0
"Dc08054","locus195",1,1,NA,NA,1,1,1,0
"Dc08054","locus202",0.45324,1,NA,NA,1,1,1,0
"Dc08054","locus215",1,NA,NA,NA,1,1,1,0
"Dc08054","locus227",0.94991,0.871788,1,NA,1,1,1,0
"Dc08054","locus231",1,1,NA,NA,1,NA,1,0
"Dc08054","locus235",1,1,NA,NA,1,1,1,0
"Dc08054","locus236",1,1,NA,NA,1,1,1,0
"Dc08054","locus237",1,1,NA,NA,1,1,0.45704,0
"Dc08054","locus239",1,0.24749,NA,NA,0.280464,1,0.382536,0
"Dc08054","locus248",1,1,NA,NA,1,1,0.74109,0
"Dc08054","locus256",1,1,1,NA,0.87792,NA,1,0
"Dc08054","locus263",0.97793,1,1,NA,1,NA,1,0
"Dc08054","locus264",0.433422,0.433422,NA,NA,0.933152,NA,0.337672,0
"Dc08054","locus274",1,1,NA,NA,1,NA,0.79296,0
"Dc08054","locus280",1,1,NA,NA,1,NA,1,0
"Dc08054","locus282",0.654288,0.965884,NA,NA,0.76044,NA,0.965884,0
"Dc08054","locus286",1,1,NA,NA,1,NA,1,0
"Dc08054","locus291",1,1,NA,NA,0.454216,NA,1,0
"Dc08054","locus292",0.954784,0.468248,NA,NA,0.738438,NA,0.954784,0
"Dc08054","locus296",0.502052,0.097528,NA,NA,0.395268,NA,0.491132,0
"Dc08054","locus301",1,0.752624,NA,NA,1,NA,1,0
"Dc08054","locus314",0.169312,1,NA,NA,1,NA,1,0
"Dc08054","locus321",0.20548,0.771306,NA,NA,0.9485,NA,0.9485,0
"Dc08054","locus322",1,0.565488,NA,NA,0.638298,NA,1,0
"Dc08054","locus323",1,1,NA,NA,0.687688,NA,1,0
"Dc08054","locus329",1,1,NA,NA,1,NA,0.389736,0
"Dc08054","locus332",1,1,1,NA,0.43799,NA,0.896168,0
"Dc08054","locus358",1,0.51156,NA,NA,1,NA,1,0
"Dc08054","locus359",0.70779,0.450944,NA,NA,1,NA,1,0
"Dc08054","locus360",1,1,NA,NA,0.36644,NA,1,0
"Dc08189","Dc08463",1,1,NA,NA,1,1,0.66808,0
"Dc08189","Dc08865",1,1,NA,NA,1,1,1,0
"Dc08189","Dc10003",1,NA,NA,NA,1,1,NA,0
"Dc08189","Dc10390",1,1,NA,NA,0.98554,1,1,0
"Dc08189","Dc10878",0.629504,1,NA,NA,1,NA,1,0
"Dc08189","Dc10885",1,1,1,NA,1,1,1,0
"Dc08189","Dc11203",1,0.40554,NA,NA,0.537888,1,1,0
"Dc08189","Dc11714",1,1,NA,NA,1,1,0.63113,0
"Dc08189","Dc13159",1,1,NA,NA,1,1,1,0
"Dc08189","Dc13592",1,1,NA,NA,1,1,1,0
"Dc08189","Dc14022",1,1,NA,NA,1,1,1,0
"Dc08189","Dc16747",1,1,1,NA,0.768804,1,1,0
"Dc08189","Dc18951",0.747504,1,NA,NA,0.13264,1,1,0
"Dc08189","Dc20232",1,1,NA,NA,0.88481,1,1,0
"Dc08189","Dc22883",0.58668,0.74778,NA,NA,0.74778,NA,0.74778,0
"Dc08189","Dc27955",0.977088,0.479752,NA,NA,0.977088,NA,0.977088,0
"Dc08189","Dc28124",1,1,NA,NA,1,1,1,0
"Dc08189","Dc28776",1,1,NA,NA,1,1,1,0
"Dc08189","Dc30071",1,0.86288,NA,NA,1,1,1,0
"Dc08189","Dc31007",1,NA,NA,NA,0.088368,NA,1,0
"Dc08189","Dc33714",1,1,1,NA,0.801588,1,1,0
"Dc08189","Dc33907",1,0.70911,NA,NA,0.310928,1,0.27329,0
"Dc08189","Dc34902",0.79504,1,NA,NA,1,1,1,0
"Dc08189","Dc35779",1,1,NA,NA,0.99231,1,1,0
"Dc08189","Dc36571",1,0.15692,NA,NA,0.490832,1,1,0
"Dc08189","Dc36616",1,1,NA,NA,0.19915,1,1,0
"Dc08189","Dc40235",1,1,NA,NA,1,1,1,0
"Dc08189","Dc41234",1,1,NA,NA,NA,NA,1,0
"Dc08189","Dc46984",0.918832,0.82336,NA,NA,0.918832,1,1,0
"Dc08189","Dc47572",1,1,1,NA,1,1,1,0
"Dc08189","Dc47935",1,1,NA,NA,1,1,1,0
"Dc08189","Dc48207",1,0.36006,NA,NA,1,1,1,0
"Dc08189","Dc48950",1,1,NA,NA,1,1,0.66113,0
"Dc08189","Dc49080",1,1,NA,NA,1,1,1,0
"Dc08189","Dc49184",1,0.74992,NA,NA,1,1,0.74992,0
"Dc08189","Dc51020",1,0.74787,NA,NA,1,1,1,0
"Dc08189","Dc52523",1,0.23773,NA,NA,0.260064,1,1,0
"Dc08189","Dc55481",1,1,NA,1,1,NA,1,0
"Dc08189","Dc58248",1,1,NA,1,1,NA,0.67744,0
"Dc08189","Dc62188",1,1,NA,1,1,NA,1,0
"Dc08189","Dc67011",0.99118,0.99118,NA,0.99118,0.99118,NA,0.99118,0
"Dc08189","locus003",0.665604,0.636256,NA,0.665604,0.636256,NA,0.38852,0
"Dc08189","locus004",0.921096,0.921096,NA,1,1,NA,0.19057,0
"Dc08189","locus005",1,1,NA,1,1,NA,1,0
"Dc08189","locus006",1,1,NA,0.798472,1,NA,0.40584,0
"Dc08189","locus008",1,1,NA,1,0.27399,NA,1,0
"Dc08189","locus014",1,1,NA,1,1,NA,1,0
"Dc08189","locus022",1,1,NA,1,1,NA,1,0
"Dc08189","locus024",1,1,NA,0.799256,0.47025,NA,1,0
"Dc08189","locus025",1,0.84394,NA,1,1,NA,1,0
"Dc08189","locus027",0.270954,0.121104,NA,NA,NA,NA,NA,0
"Dc08189","locus030",0.529544,1,NA,NA,1,NA,1,0
"Dc08189","locus035",1,1,NA,NA,1,NA,1,0
"Dc08189","locus038",1,1,NA,NA,1,NA,1,0
"Dc08189","locus039",0.889518,0.889518,NA,NA,0.815936,NA,0.889518,0
"Dc08189","locus040",1,1,NA,NA,0.868584,NA,1,0
"Dc08189","locus041",0.99822,1,1,NA,1,NA,1,0
"Dc08189","locus045",1,1,NA,NA,0.315752,NA,0.818448,0
"Dc08189","locus047",1,1,NA,NA,1,NA,1,0
"Dc08189","locus048",0.232856,1,NA,NA,1,NA,1,0
"Dc08189","locus053",1,1,NA,NA,1,NA,1,0
"Dc08189","locus056",1,1,NA,1,1,NA,1,0
"Dc08189","locus058",1,0.68703,NA,1,1,NA,1,0
"Dc08189","locus060",1,1,NA,1,1,NA,1,0
"Dc08189","locus061",1,NA,NA,NA,0.93669,NA,1,0
"Dc08189","locus062",0.41942,1,NA,1,1,NA,1,0
"Dc08189","locus064",1,0.823704,NA,1,1,NA,0.75045,0
"Dc08189","locus065",1,1,NA,1,1,NA,1,0
"Dc08189","locus073",1,1,1,1,1,NA,1,0
"Dc08189","locus074",1,1,1,1,1,NA,1,0
"Dc08189","locus076",1,1,NA,NA,1,NA,1,0
"Dc08189","locus077",1,1,NA,1,1,NA,1,0
"Dc08189","locus080",1,0.78054,1,NA,0.78054,NA,1,0
"Dc08189","locus088",1,1,NA,NA,1,NA,0.058296,0
"Dc08189","locus093",1,1,1,NA,1,NA,1,0
"Dc08189","locus096",1,1,1,NA,1,NA,0.43969,0
"Dc08189","locus098",1,1,NA,NA,0.332528,NA,1,0
"Dc08189","locus100",1,1,1,NA,1,NA,1,0
"Dc08189","locus106",0.722536,0.973664,NA,NA,0.973664,NA,0.890784,0
"Dc08189","locus116",0.756292,0.740106,NA,NA,0.57844,NA,0.742968,0
"Dc08189","locus119",0.763976,1,NA,NA,1,NA,0.763976,0
"Dc08189","locus120",1,1,NA,NA,1,NA,1,0
"Dc08189","locus128",1,0.13754,NA,1,1,NA,1,0
"Dc08189","locus129",1,1,1,1,1,NA,1,0
"Dc08189","locus134",1,0.830368,NA,NA,1,NA,1,0
"Dc08189","locus135",1,1,NA,1,1,NA,1,0
"Dc08189","locus137",0.795464,0.821088,NA,0.795464,0.795464,NA,0.64354,0
"Dc08189","locus139",0.59427,0.36334,NA,0.59427,0.6913,NA,0.572056,0
"Dc08189","locus140",0.601896,0.36607,NA,0.601896,0.691796,NA,0.58636,0
"Dc08189","locus146",0.487896,0.99617,1,0.99617,1,NA,1,0
"Dc08189","locus148",0.64405,1,NA,1,1,NA,1,0
"Dc08189","locus151",1,NA,NA,1,0.627936,NA,1,0
"Dc08189","locus157",0.887682,NA,NA,NA,0.887682,NA,0.887682,0
"Dc08189","locus161",1,0.50692,NA,1,1,NA,1,0
"Dc08189","locus165",1,1,NA,NA,1,NA,1,0
"Dc08189","locus170",1,0.16314,NA,1,1,NA,1,0
"Dc08189","locus176",0.952064,NA,1,NA,1,NA,1,0
"Dc08189","locus184",1,0.2466,1,1,1,NA,1,0
"Dc08189","locus186",1,0.59064,NA,1,1,NA,1,0
"Dc08189","locus188",0.514136,1,NA,NA,1,NA,1,0
"Dc08189","locus189",1,1,NA,1,0.98669,1,0.331536,0
"Dc08189","locus190",1,1,NA,NA,1,1,1,0
"Dc08189","locus191",0.477924,NA,NA,NA,0.19996,1,1,0
"Dc08189","locus192",1,1,NA,NA,1,1,0.37949,0
"Dc08189","locus195",1,1,NA,NA,0.96393,1,1,0
"Dc08189","locus202",1,1,NA,NA,1,1,1,0
"Dc08189","locus215",1,NA,NA,NA,1,1,1,0
"Dc08189","locus227",1,1,1,NA,1,1,1,0
"Dc08189","locus231",0.593346,1,NA,NA,1,NA,0.483024,0
"Dc08189","locus235",1,1,NA,NA,1,1,1,0
"Dc08189","locus237",1,1,NA,NA,1,1,0.32927,0
"Dc08189","locus239",1,0.70537,NA,NA,0.70537,1,1,0
"Dc08189","locus256",0.866024,0.67205,0.67205,NA,0.866024,NA,0.67205,0
"Dc08189","locus263",1,0.25453,1,NA,0.615808,NA,0.615808,0
"Dc08189","locus264",0.946938,0.946938,NA,NA,0.642152,NA,1,0
"Dc08189","locus280",0.929124,0.156864,NA,NA,0.98309,NA,0.144552,0
"Dc08189","locus282",1,1,NA,NA,1,NA,1,0
"Dc08189","locus286",1,1,NA,NA,1,NA,1,0
"Dc08189","locus291",1,1,NA,NA,1,NA,1,0
"Dc08189","locus292",1,1,NA,NA,1,NA,1,0
"Dc08189","locus296",0.877284,1,NA,NA,0.419928,NA,1,0
"Dc08189","locus301",1,1,NA,NA,0.777736,NA,1,0
"Dc08189","locus314",0.069096,1,NA,NA,1,NA,1,0
"Dc08189","locus321",0.515936,0.515936,NA,NA,1,NA,1,0
"Dc08189","locus322",1,1,NA,NA,1,NA,1,0
"Dc08189","locus329",1,1,NA,NA,1,NA,1,0
"Dc08189","locus332",1,1,1,NA,1,NA,1,0
"Dc08189","locus358",0.09068,0.38973,NA,NA,0.516676,NA,0.516676,0
"Dc08189","locus359",1,1,NA,NA,1,NA,1,0
"Dc08189","locus360",0.653288,1,NA,NA,1,NA,0.851364,0
"Dc08463","Dc08865",1,0.72149,NA,NA,1,0.72149,0.72149,0
"Dc08463","Dc10390",1,1,NA,NA,1,1,1,0
"Dc08463","Dc10878",1,0.953512,NA,NA,1,NA,1,0
"Dc08463","Dc10885",1,0.705408,1,NA,1,1,1,0
"Dc08463","Dc11714",1,1,NA,NA,1,1,0.40663,0
"Dc08463","Dc13159",0.1998,1,NA,NA,1,1,1,0
"Dc08463","Dc13592",1,1,NA,NA,1,1,1,0
"Dc08463","Dc14022",1,1,NA,NA,1,0.71714,1,0
"Dc08463","Dc16747",0.65795,1,NA,NA,1,1,1,0
"Dc08463","Dc18951",1,1,NA,NA,1,1,0.64783,0
"Dc08463","Dc20232",1,1,NA,NA,0.924096,0.924096,0.86373,0
"Dc08463","Dc22883",1,1,1,NA,0.67332,NA,1,0
"Dc08463","Dc22887",1,1,NA,NA,0.681,1,1,0
"Dc08463","Dc27955",0.24208,1,NA,NA,0.352812,NA,1,0
"Dc08463","Dc28124",1,1,NA,NA,1,1,1,0
"Dc08463","Dc28776",1,0.81367,NA,NA,0.81367,1,0.81367,0
"Dc08463","Dc30071",0.47737,1,NA,NA,0.578696,1,1,0
"Dc08463","Dc31007",0.860394,NA,NA,NA,0.860394,NA,0.860394,0
"Dc08463","Dc33714",1,0.65412,NA,NA,1,1,1,0
"Dc08463","Dc33907",1,1,NA,NA,1,1,1,0
"Dc08463","Dc34902",1,1,NA,NA,1,1,1,0
"Dc08463","Dc35779",1,1,NA,NA,1,1,1,0
"Dc08463","Dc36571",1,1,NA,NA,1,1,1,0
"Dc08463","Dc36616",1,1,NA,NA,1,1,1,0
"Dc08463","Dc40235",0.806592,1,NA,NA,0.08599,1,1,0
"Dc08463","Dc41234",0.391992,0.72584,NA,NA,NA,NA,0.72584,0
"Dc08463","Dc46984",1,1,NA,NA,1,1,1,0
"Dc08463","Dc47572",1,1,1,NA,0.097344,1,1,0
"Dc08463","Dc47935",1,1,NA,NA,0.25071,1,1,0
"Dc08463","Dc48207",1,1,NA,NA,0.65038,1,1,0
"Dc08463","Dc48950",1,1,NA,NA,1,1,0.87649,0
"Dc08463","Dc49080",0.22921,1,NA,NA,0.810072,1,0.23208,0
"Dc08463","Dc49184",0.53309,1,NA,NA,0.62784,1,1,0
"Dc08463","Dc51020",1,1,NA,NA,1,1,1,0
"Dc08463","Dc55481",1,1,NA,1,1,NA,1,0
"Dc08463","Dc58248",0.97619,1,NA,1,1,NA,1,0
"Dc08463","Dc62188",1,1,NA,1,1,NA,1,0
"Dc08463","Dc67011",1,1,NA,1,1,NA,1,0
"Dc08463","locus003",1,0.23285,NA,0.922632,1,NA,1,0
"Dc08463","locus004",1,1,NA,1,1,NA,1,0
"Dc08463","locus005",1,1,NA,1,1,NA,1,0
"Dc08463","locus006",0.61633,1,NA,1,1,NA,1,0
"Dc08463","locus008",1,1,NA,1,1,NA,1,0
"Dc08463","locus013",1,1,NA,1,0.895488,NA,0.13126,0
"Dc08463","locus014",0.98408,0.43413,NA,1,1,NA,1,0
"Dc08463","locus022",1,1,NA,1,1,NA,1,0
"Dc08463","locus024",1,1,NA,1,1,NA,1,0
