"locus","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","num.snps"
"locus135",220,3,0.986547085201794,3,0.0136363636363636,0,0.444274176848209,0.443946188340807,2
"locus137",223,0,1,2,0.00896860986547085,0,0.292165062729884,0.26457399103139,1
"locus139",223,0,1,2,0.00896860986547085,0,0.223439310727062,0.228699551569507,1
"locus140",223,0,1,2,0.00896860986547085,0,0.223439310727062,0.228699551569507,1
"locus146",220,3,0.986547085201794,2,0.00909090909090909,0,0.484572375232967,0.502242152466368,1
"locus148",223,0,1,2,0.00896860986547085,0,0.442918325187686,0.443946188340807,1
"locus151",162,61,0.726457399103139,2,0.0123456790123457,0,0.445820433436532,0.340807174887892,1
"locus157",157,66,0.704035874439462,2,0.0127388535031847,0,0.281496103050406,0.201793721973094,1
"locus161",222,1,0.995515695067265,2,0.00900900900900901,0.0045045045045045,0.315813556219877,0.327354260089686,1
"locus165",176,47,0.789237668161435,2,0.0113636363636364,0,0.395218207718208,0.318385650224215,1
"locus170",223,0,1,2,0.00896860986547085,0,0.479800473623218,0.47085201793722,1
"locus176",173,50,0.775784753363229,2,0.0115606936416185,0,0.482080924855491,0.345291479820628,1
"locus184",223,0,1,2,0.00896860986547085,0,0.417675215397793,0.439461883408072,1
"locus186",222,1,0.995515695067265,2,0.00900900900900901,0.0045045045045045,0.256838102210563,0.255605381165919,1
"locus188",185,38,0.829596412556054,3,0.0162162162162162,0,0.628594448106643,0.506726457399103,2
"locus189",222,1,0.995515695067265,2,0.00900900900900901,0.0045045045045045,0.471478250259289,0.457399103139013,2
"locus190",223,0,1,2,0.00896860986547085,0,0.374716581851161,0.36322869955157,1
"locus191",175,48,0.7847533632287,2,0.0114285714285714,0,0.498223495702006,0.381165919282511,1
"locus192",197,26,0.883408071748879,2,0.0101522842639594,0,0.462200178246212,0.412556053811659,1
"locus195",207,16,0.928251121076233,2,0.00966183574879227,0,0.424465733235077,0.430493273542601,1
"locus202",223,0,1,2,0.00896860986547085,0,0.47173880183403,0.434977578475336,1
"locus215",168,55,0.753363228699552,2,0.0119047619047619,0,0.404193319118692,0.251121076233184,1
"locus227",216,7,0.968609865470852,2,0.00925925925925926,0,0.252986164819112,0.224215246636771,1
"locus231",174,49,0.780269058295964,2,0.0114942528735632,0,0.373182284938222,0.286995515695067,1
"locus235",223,0,1,2,0.00896860986547085,0,0.410177860633849,0.403587443946188,1
"locus236",223,0,1,2,0.00896860986547085,0,0.300780974454577,0.31390134529148,1
"locus237",223,0,1,3,0.0134529147982063,0,0.391908096941603,0.394618834080717,2
"locus239",223,0,1,2,0.00896860986547085,0,0.433365244117499,0.452914798206278,1
"locus248",223,0,1,2,0.00896860986547085,0,0.356013503300247,0.354260089686099,1
"locus256",192,31,0.860986547085202,2,0.0104166666666667,0,0.489066579634465,0.412556053811659,1
"locus263",191,32,0.856502242152466,2,0.0104712041884817,0,0.104176114111391,0.0941704035874439,1
"locus264",223,0,1,2,0.00896860986547085,0,0.469521842092004,0.488789237668161,1
"locus274",217,6,0.973094170403587,2,0.00921658986175115,0,0.475601579378678,0.448430493273543,1
"locus280",202,21,0.905829596412556,2,0.0099009900990099,0,0.383264132864899,0.331838565022422,1
"locus282",215,8,0.964125560538117,2,0.00930232558139535,0,0.420979020979021,0.37219730941704,1
"locus286",192,31,0.860986547085202,2,0.0104166666666667,0,0.157514686684073,0.139013452914798,1
"locus291",223,0,1,2,0.00896860986547085,0,0.445941452108631,0.426008968609865,2
"locus292",223,0,1,2,0.00896860986547085,0,0.480717488789238,0.475336322869955,1
"locus296",223,0,1,2,0.00896860986547085,0,0.306424144707009,0.278026905829596,1
"locus301",209,14,0.937219730941704,2,0.00956937799043062,0,0.338714674193659,0.304932735426009,1
"locus314",184,39,0.825112107623318,2,0.0108695652173913,0,0.181361805473285,0.0582959641255605,1
"locus321",215,8,0.964125560538117,2,0.00930232558139535,0,0.459489347861441,0.434977578475336,1
"locus322",223,0,1,2,0.00896860986547085,0,0.472817050435834,0.493273542600897,1
"locus323",220,3,0.986547085201794,2,0.00909090909090909,0,0.397597846344999,0.367713004484305,1
"locus329",217,6,0.973094170403587,2,0.00921658986175115,0,0.500292674620321,0.484304932735426,1
"locus332",223,0,1,2,0.00896860986547085,0,0.398327203103744,0.394618834080717,1
"locus358",223,0,1,2,0.00896860986547085,0,0.314737743739608,0.300448430493274,1
"locus359",192,31,0.860986547085202,2,0.0104166666666667,0,0.333754895561358,0.309417040358744,1
"locus360",185,38,0.829596412556054,2,0.0108108108108108,0,0.498483849703362,0.408071748878924,1
