"Locus.1","Locus.2","p.val.Bird's Head-Summer","p.val.Bird's Head-Winter","p.val.HaevoSI-Summer","p.val.HaevoSI-Winter","p.val.IsabelSI-South","p.val.Malaysia","p.val.PNG","num.sig.p"
"Dc01661","locus128",0.157142,0.678988,NA,NA,0.711416,NA,1,0
"Dc01661","locus129",0.56354,0.621848,NA,0.59943,0.80203,NA,1,0
"Dc01661","locus130",0.22833,NA,NA,NA,0.186782,NA,0.708562,0
"Dc01661","locus134",0.301594,0.602574,NA,NA,0.206774,NA,0.912666,0
"Dc01661","locus135",0.93872,0.847348,NA,0.142398,0.418306,NA,0.359898,0
"Dc01661","locus137",0.319786,0.329236,NA,1,0.429614,NA,0.39981,0
"Dc01661","locus139",0.922838,0.89797,NA,1,0.43264,NA,0.485238,0
"Dc01661","locus140",0.924076,0.898376,NA,1,0.436638,NA,0.486928,0
"Dc01661","locus146",0.906032,0.599492,NA,0.600996,0.803252,NA,0.052916,0
"Dc01661","locus148",0.92439,0.425526,NA,1,0.622636,NA,1,0
"Dc01661","locus151",0.242288,NA,1,1,0.013908,NA,0.465284,1
"Dc01661","locus157",0.87597,NA,NA,NA,0.485742,NA,1,0
"Dc01661","locus161",0.558106,0.407334,NA,0.430094,0.08101,NA,0.133444,0
"Dc01661","locus165",0.9676,0.647628,NA,NA,0.461284,NA,0.286,0
"Dc01661","locus170",0.881154,0.635278,1,1,0.65329,NA,0.009632,1
"Dc01661","locus176",0.04867,NA,NA,NA,0.198248,NA,0.185708,1
"Dc01661","locus184",0.23544,0.637156,1,1,0.69065,NA,0.179672,0
"Dc01661","locus186",0.77859,0.075738,NA,1,0.667928,NA,0.252938,0
"Dc01661","locus188",0.342208,0.716732,NA,NA,0.972216,NA,0.406356,0
"Dc01661","locus189",0.581606,0.476678,NA,0.067374,0.334746,1,0.916664,0
"Dc01661","locus190",0.495738,0.664552,NA,NA,0.699834,0.048092,0.814742,1
"Dc01661","locus191",0.227076,NA,NA,NA,0.376768,1,0.646074,0
"Dc01661","locus192",0.477726,0.823036,NA,NA,0.355226,0.520508,0.479454,0
"Dc01661","locus195",0.104022,0.677804,NA,NA,0.779936,1,0.927794,0
"Dc01661","locus202",0.654544,0.118052,1,NA,0.58744,1,0.155964,0
"Dc01661","locus215",0.709782,NA,NA,NA,0.58765,0.71639,0.226126,0
"Dc01661","locus227",0.830618,0.565752,Inf,NA,0.22615,1,1,0
"Dc01661","locus231",0.501276,0.37678,Inf,NA,0.648442,NA,0.790566,0
"Dc01661","locus235",0.069498,0.748138,NA,NA,0.325568,Inf,0.748446,0
"Dc01661","locus236",0.450842,0.538716,NA,NA,0.76755,1,0.658094,0
