Sample_idx1_idx2	DermGT_01	DermGT_05	DermGT_06	DermGT_10	DermGT_13	DermGT_15	DermGT_18	DermGT_22	DermGT_39	DermGT_43	DermGT_48	GT_14-5	GT_A1	GT_A6	GT_B116	GT_C102	GT_Cc1G02	GT_Cc5C08	GT_Cc5F01	GT_Cc5H07	GT_Cm3	GT_D1	GT_D115	GT_D8	GT_LB123	GT_LB133	GT_LB141	GT_LB142	GT_LB143	GT_LB145	GT_LB158	GT_Or2	GT_Or7	
62752	24	2	8	36	5	46	10	4	15	9	2	9	26	376	1	X	15	3	5	24	703	51	193	6	7	4	X	6	2	1	2	14	337
37467	4	X	75	7	X	7	1	X	5	5	1	2	2	161	1	X	2	4	2	4	381	7	49	3	X	1	X	2	X	8	2	3	88
216923	X	X	X	X	X	4	X	X	X	X	X	X	3	4	X	X	6	X	1	X	X	X	X	X	1	X	X	X	X	X	X	1	4
16883	9	X	X	21	X	17	1	2	2	9	X	10	12	419	1	X	9	3	10	9	393	24	153	8	4	67	X	9	1	2	1	8	239
12521	14	7	9	48	8	47	3	14	14	13	X	10	7	516	X	X	5	16	9	40	1528	56	280	4	5	5	X	12	3	4	2	17	482
6800	11	2	8	16	5	15	5	5	5	7	1	11	4	314	X	X	2	6	3	19	696	20	142	2	1	3	X	10	X	4	X	3	273
26457	38	5	9	30	8	27	4	9	4	22	1	37	11	462	2	X	1	24	25	52	1850	41	188	4	6	1	X	11	2	1	1	19	533
12509	19	6	13	58	8	41	4	7	15	35	4	30	16	736	1	X	9	24	14	44	1664	73	354	9	7	98	X	12	2	5	4	16	610
134074	22	X	15	23	6	29	1	12	5	23	1	40	12	663	X	X	4	17	3	16	2015	38	242	4	1	6	X	7	1	13	1	11	571
134112	29	10	12	68	9	21	14	10	11	34	4	37	15	1209	4	X	16	15	4	26	1091	74	308	9	5	6	X	14	8	4	7	26	647
12528	4	X	X	8	X	2	1	5	1	2	3	15	4	276	X	X	X	X	8	X	515	6	29	4	1	33	X	1	1	1	3	3	234
12482	4	X	3	13	2	7	4	1	4	5	1	8	7	148	X	X	2	4	X	6	223	9	56	4	2	74	X	2	1	X	3	1	84
216917	X	X	1	1	X	4	X	X	2	X	X	1	3	17	1	X	11	X	X	X	8	X	3	X	X	X	X	X	X	X	X	X	4
134055	9	4	4	7	4	10	1	7	3	6	X	13	2	256	X	X	X	3	X	31	869	9	94	1	X	42	X	2	2	2	1	9	249
61457	9	3	6	7	1	10	4	3	3	1	2	4	6	167	1	X	3	5	12	12	375	15	86	4	3	1	X	5	1	X	1	6	127
6805	4	1	2	20	1	11	2	X	6	8	3	2	4	221	X	X	2	1	6	6	283	20	83	1	X	X	X	3	X	X	X	8	86
117094	4	X	X	2	X	1	X	2	1	5	1	6	2	93	1	X	X	4	X	9	530	1	11	4	X	33	X	3	1	5	1	5	199
216926	1	X	3	1	X	2	X	1	2	X	X	2	1	44	1	X	4	X	X	2	15	1	10	1	X	11	X	5	X	X	X	X	16
134064	1	X	1	1	X	11	1	1	4	3	1	2	2	59	X	X	3	X	4	6	144	5	22	X	4	X	X	2	X	3	X	2	76
16886	4	1	3	6	1	13	3	2	5	12	X	10	3	245	X	X	1	5	2	16	428	11	116	3	2	1	X	5	X	4	X	3	195
62742	3	3	5	18	4	33	X	1	9	8	2	4	9	230	X	X	10	4	2	14	461	18	105	2	3	51	X	2	X	1	2	4	175
12500	5	3	12	21	3	12	3	19	3	11	2	13	10	592	1	X	1	6	1	15	1259	32	106	6	1	3	X	15	4	X	8	10	439
216912	X	X	X	X	X	1	X	X	1	X	1	X	1	8	X	X	4	X	X	1	3	X	1	X	X	1	X	X	X	X	X	X	2
37418	3	1	3	8	2	16	1	2	4	5	X	13	3	191	X	X	9	2	1	4	367	2	55	2	X	2	X	3	X	X	1	6	137
12519	20	X	8	29	7	18	5	6	9	16	X	21	5	272	1	X	15	12	16	29	1140	32	151	3	3	5	X	6	X	2	2	5	362
117088	4	X	7	2	X	3	1	3	1	4	2	14	9	152	X	X	2	3	X	7	345	4	24	X	X	X	X	3	2	1	1	2	319
6798	8	2	3	16	3	26	2	2	9	9	1	7	6	269	X	X	6	4	2	8	702	27	74	3	4	1	X	5	1	X	X	4	193
76701	3	1	4	7	X	16	X	1	4	4	2	5	7	182	X	X	7	1	3	8	493	13	78	1	X	2	X	4	X	2	1	7	161
32031	1	1	129	10	2	10	1	6	1	6	X	12	4	293	2	X	5	4	6	20	1077	13	72	2	X	1	X	6	1	3	1	15	297
216922	1	X	X	X	X	2	X	X	6	X	1	1	3	12	X	X	7	X	X	2	4	X	1	X	X	X	X	X	X	X	2	2	3
12505	11	1	2	16	2	22	2	1	7	6	1	10	1	175	X	X	23	2	11	13	310	27	81	3	3	29	X	3	X	2	X	12	133
178009	20	1	23	12	2	28	4	1	5	20	1	11	12	530	2	X	13	7	X	6	559	21	152	4	3	80	X	4	3	3	5	4	260
37466	6	1	7	4	X	10	X	5	3	9	X	7	8	265	X	X	5	6	3	4	640	12	91	3	X	3	X	3	X	1	1	11	221
16882	9	X	7	4	X	14	3	5	6	9	X	7	4	269	X	X	1	4	1	3	370	16	111	2	2	35	X	3	X	1	X	6	200
6801	13	2	5	5	4	6	2	4	5	11	1	11	5	188	X	X	X	2	3	22	501	17	108	2	2	3	X	5	1	2	X	4	176
216916	1	X	X	1	X	11	X	1	3	X	1	2	1	17	X	X	9	X	X	1	5	X	3	X	X	X	X	X	X	X	X	1	13
134098	12	1	5	12	2	27	1	5	2	9	3	11	9	275	X	X	6	7	1	42	1043	26	126	6	3	5	X	2	1	2	1	4	340
76705	3	X	2	7	3	11	X	X	1	11	X	7	8	188	1	X	1	7	2	8	433	4	41	1	X	X	X	3	1	1	1	3	131
12483	12	3	2	27	1	1	1	3	5	4	1	10	6	187	X	X	2	7	X	10	226	19	65	3	X	4	X	4	2	X	2	10	121
102682	10	1	3	4	X	9	X	1	4	3	X	6	1	127	X	X	2	2	3	7	544	10	76	2	1	27	X	X	X	2	X	6	155
37463	8	X	2	15	5	11	2	2	5	23	1	7	3	206	X	X	10	2	3	8	451	18	115	2	3	41	X	3	X	X	X	6	170
207730	7	1	13	6	1	8	1	1	2	11	6	3	18	231	1	X	6	1	X	3	250	11	44	3	X	43	X	5	1	5	2	6	129
178011	26	3	5	16	1	15	3	7	7	14	4	10	8	561	2	X	8	28	1	12	419	25	147	3	3	92	X	10	1	4	6	6	178
216927	2	X	1	X	X	4	1	1	1	1	1	2	1	54	1	X	9	2	1	2	13	3	16	1	X	X	X	3	X	1	X	2	17
62743	18	1	9	53	3	50	10	4	28	9	2	12	10	309	1	X	54	9	15	23	402	85	114	5	7	3	X	4	X	1	1	7	164
