"","locus","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","num.snps"
"94","locus093",107,35,0.753521126760563,2,0.0186915887850467,0,0.0368566539423456,0.028169014084507,1
"95","locus096",142,0,1,2,0.0140845070422535,0,0.317722589956701,0.352112676056338,1
"96","locus098",129,13,0.908450704225352,2,0.0155038759689922,0,0.370554700932042,0.359154929577465,1
"97","locus100",142,0,1,2,0.0140845070422535,0,0.350370775892102,0.338028169014085,3
"98","locus106",142,0,1,2,0.0140845070422535,0,0.22216692380431,0.225352112676056,1
"99","locus110",85,57,0.598591549295775,2,0.0235294117647059,0,0.39707622694048,0.253521126760563,1
"100","locus116",133,9,0.936619718309859,2,0.0150375939849624,0,0.428089090651156,0.394366197183099,1
"101","locus120",142,0,1,2,0.0140845070422535,0,0.262778081919076,0.267605633802817,1
"102","locus126",92,50,0.647887323943662,2,0.0217391304347826,0,0.429971489665004,0.246478873239437,1
"103","locus128",124,18,0.873239436619718,2,0.0161290322580645,0,0.33276740237691,0.267605633802817,1
"104","locus129",142,0,1,3,0.0211267605633803,0,0.425894590155776,0.387323943661972,2
"105","locus130",119,23,0.838028169014085,2,0.0168067226890756,0,0.280821189235188,0.23943661971831,1
"106","locus134",133,9,0.936619718309859,2,0.0150375939849624,0,0.425166690310682,0.401408450704225,1
"107","locus135",141,1,0.992957746478873,3,0.0212765957446809,0.00709219858156028,0.457005123545595,0.471830985915493,2
"108","locus137",142,0,1,2,0.0140845070422535,0,0.330338924003384,0.288732394366197,1
"109","locus139",142,0,1,2,0.0140845070422535,0,0.232618324789728,0.23943661971831,1
"110","locus140",142,0,1,2,0.0140845070422535,0,0.232618324789728,0.23943661971831,1
"111","locus146",141,1,0.992957746478873,2,0.0141843971631206,0.00709219858156028,0.474293935034451,0.507042253521127,1
"112","locus148",142,0,1,2,0.0140845070422535,0,0.446797392126611,0.471830985915493,1
"113","locus151",135,7,0.950704225352113,2,0.0148148148148148,0,0.453283767038414,0.429577464788732,1
"114","locus157",122,20,0.859154929577465,2,0.0163934426229508,0,0.30722525804493,0.267605633802817,1
"115","locus161",141,1,0.992957746478873,2,0.0141843971631206,0.00709219858156028,0.32790691804851,0.323943661971831,1
"116","locus165",126,16,0.887323943661972,2,0.0158730158730159,0,0.413172706001391,0.373239436619718,1
"117","locus170",142,0,1,2,0.0140845070422535,0,0.477852983626139,0.457746478873239,1
"118","locus176",131,11,0.922535211267606,2,0.0152671755725191,0,0.491357374747741,0.436619718309859,1
"119","locus184",142,0,1,2,0.0140845070422535,0,0.396630667396606,0.429577464788732,1
"120","locus186",142,0,1,2,0.0140845070422535,0,0.211516448514408,0.211267605633803,1
"121","locus188",137,5,0.964788732394366,3,0.0218978102189781,0,0.628218496831636,0.598591549295775,2
"122","locus189",141,1,0.992957746478873,2,0.0141843971631206,0.00709219858156028,0.486004896393327,0.436619718309859,2
"123","locus190",142,0,1,2,0.0140845070422535,0,0.372766635146568,0.338028169014085,1
"124","locus191",136,6,0.957746478873239,2,0.0147058823529412,0,0.498561970913827,0.471830985915493,1
"125","locus192",133,9,0.936619718309859,2,0.0150375939849624,0,0.458731734997872,0.408450704225352,1
"126","locus195",139,3,0.97887323943662,2,0.0143884892086331,0,0.449211749733787,0.492957746478873,1
"127","locus202",142,0,1,2,0.0140845070422535,0,0.47937092519783,0.450704225352113,1
"128","locus210",101,41,0.711267605633803,2,0.0198019801980198,0,0.488251810255652,0.338028169014085,1
"129","locus215",131,11,0.922535211267606,2,0.0152671755725191,0,0.413442133894885,0.323943661971831,1
"130","locus227",141,1,0.992957746478873,2,0.0141843971631206,0.00709219858156028,0.269175437268115,0.21830985915493,1
"131","locus231",113,29,0.795774647887324,2,0.0176991150442478,0,0.378879056047198,0.302816901408451,1
"132","locus235",142,0,1,2,0.0140845070422535,0,0.41218334743443,0.422535211267606,1
"133","locus236",142,0,1,2,0.0140845070422535,0,0.309062857711641,0.323943661971831,1
"134","locus237",142,0,1,3,0.0211267605633803,0,0.382944308963321,0.387323943661972,2
"135","locus239",142,0,1,2,0.0140845070422535,0,0.423729657094511,0.408450704225352,1
"136","locus248",142,0,1,2,0.0140845070422535,0,0.3464639426666,0.359154929577465,1
"137","locus255",80,62,0.563380281690141,2,0.025,0,0.350943396226415,0.225352112676056,1
"138","locus256",130,12,0.915492957746479,2,0.0153846153846154,0,0.486219186219186,0.471830985915493,1
"139","locus263",138,4,0.971830985915493,2,0.0144927536231884,0,0.116021080368906,0.119718309859155,1
"140","locus264",142,0,1,2,0.0140845070422535,0,0.476285273478326,0.492957746478873,1
"141","locus274",140,2,0.985915492957746,2,0.0142857142857143,0,0.478750640040963,0.492957746478873,1
"142","locus280",134,8,0.943661971830986,2,0.0149253731343284,0,0.39443233271843,0.352112676056338,1
"143","locus282",140,2,0.985915492957746,2,0.0142857142857143,0,0.43778801843318,0.366197183098592,1
"144","locus286",140,2,0.985915492957746,2,0.0142857142857143,0,0.16321044546851,0.161971830985915,1
"145","locus291",142,0,1,2,0.0140845070422535,0,0.434479669536655,0.436619718309859,2
"146","locus292",142,0,1,2,0.0140845070422535,0,0.476285273478326,0.47887323943662,1
"147","locus296",142,0,1,2,0.0140845070422535,0,0.304658338724929,0.26056338028169,1
"148","locus301",138,4,0.971830985915493,2,0.0144927536231884,0,0.333175230566535,0.28169014084507,1
"149","locus321",140,2,0.985915492957746,2,0.0142857142857143,0,0.454454685099846,0.429577464788732,1
"150","locus322",142,0,1,2,0.0140845070422535,0,0.480839098193401,0.457746478873239,1
"151","locus323",141,1,0.992957746478873,2,0.0141843971631206,0.00709219858156028,0.407864516291865,0.366197183098592,1
"152","locus329",141,1,0.992957746478873,2,0.0141843971631206,0.00709219858156028,0.501148380909114,0.52112676056338,1
"153","locus332",142,0,1,2,0.0140845070422535,0,0.393370825660678,0.366197183098592,1
"154","locus349",103,39,0.725352112676056,2,0.0194174757281553,0,0.459815297182098,0.345070422535211,1
"155","locus358",142,0,1,2,0.0140845070422535,0,0.330338924003384,0.302816901408451,1
"156","locus359",141,1,0.992957746478873,2,0.0141843971631206,0.00709219858156028,0.310744302263951,0.323943661971831,1
"157","locus360",136,6,0.957746478873239,2,0.0147058823529412,0,0.495740177990015,0.443661971830986,1
