Sample_idx1_idx2	DermGT_01	DermGT_05	DermGT_06	DermGT_10	DermGT_13	DermGT_15	DermGT_18	DermGT_22	DermGT_39	DermGT_43	DermGT_48	GT_14-5	GT_A1	GT_A6	GT_B116	GT_C102	GT_Cc1G02	GT_Cc5C08	GT_Cc5F01	GT_Cc5H07	GT_Cm3	GT_D1	GT_D115	GT_D8	GT_LB123	GT_LB133	GT_LB141	GT_LB142	GT_LB143	GT_LB145	GT_LB158	GT_Or2	GT_Or7	
	674	74	297	107	62	437	86	903	161	501	170	206	106	X	156	X	10	638	23	1644	X	262	23	217	10	36	X	64	90	18	30	148	X
	542	103	245	116	68	643	176	560	230	501	260	249	113	X	229	X	8	472	13	774	1	271	32	274	21	82	X	96	115	62	37	166	X
	679	75	273	103	57	499	102	808	203	492	176	221	116	X	169	X	5	564	17	1281	1	249	32	239	11	89	X	78	71	91	18	154	X
	840	72	340	103	98	364	100	1269	154	461	212	266	82	1	171	X	13	651	35	2024	1	351	35	183	20	69	X	69	74	14	27	175	X
	24	10	9	11	X	25	9	17	16	11	16	4	6	X	7	X	2	17	X	10	X	16	1	10	X	5	X	6	6	X	2	3	X
	38	5	16	18	X	41	10	34	32	18	19	7	29	X	18	X	1	21	X	17	X	13	3	5	X	5	X	3	3	X	1	3	X
	734	78	295	94	107	460	99	926	153	427	191	221	91	X	203	X	5	546	28	1474	1	311	35	207	21	94	X	67	67	2	24	120	1
	271	33	174	61	47	141	67	167	82	245	112	40	51	2	72	X	10	201	2	278	1	124	8	81	3	31	X	14	34	1	12	37	X
	177	91	45	112	43	345	113	127	240	209	128	49	128	2	174	X	23	146	2	184	1	82	15	167	19	1	X	63	90	4	32	62	1
	458	28	186	56	60	205	38	806	77	278	131	129	53	X	93	X	3	364	16	900	X	212	18	102	9	36	X	25	48	84	8	64	X
	379	81	183	139	38	528	148	468	223	416	170	149	127	2	235	X	17	298	14	528	X	176	19	238	15	113	X	55	100	64	37	91	X
	8	1	2	3	X	7	2	11	5	15	3	X	4	X	4	X	1	13	X	X	X	4	X	X	X	1	X	X	X	X	X	X	X
	499	164	222	172	63	493	154	520	281	542	275	208	185	X	249	X	16	488	13	662	X	290	31	276	21	46	X	104	97	91	37	135	X
	305	30	107	40	67	185	44	353	49	198	100	81	38	1	77	X	5	289	10	487	X	159	18	93	8	34	X	34	32	41	11	55	X
	146	52	47	66	1	190	52	123	124	79	87	29	57	X	68	X	4	158	1	65	X	88	9	25	3	10	X	11	10	8	7	10	X
	210	262	145	237	60	355	334	140	414	251	169	74	193	1	170	X	68	256	24	278	X	132	21	282	64	92	X	79	137	70	60	75	X
	29	15	29	19	1	36	17	48	32	42	27	5	13	X	22	X	1	46	X	25	X	15	X	13	X	4	X	8	4	8	8	1	X
	557	57	235	54	94	213	45	797	49	296	146	144	42	X	93	X	8	441	8	1141	X	265	23	94	10	35	X	46	40	4	5	114	X
	405	81	163	102	40	380	130	539	123	278	197	141	145	2	153	X	12	322	9	479	1	168	21	181	8	40	X	56	71	3	23	78	X
