Sample_idx1_idx2	DermGT_01	DermGT_05	DermGT_06	DermGT_10	DermGT_13	DermGT_15	DermGT_18	DermGT_22	DermGT_39	DermGT_43	DermGT_48	GT_14-5	GT_A1	GT_A6	GT_B116	GT_C102	GT_Cc1G02	GT_Cc5C08	GT_Cc5F01	GT_Cc5H07	GT_Cm3	GT_D1	GT_D115	GT_D8	GT_LB123	GT_LB133	GT_LB141	GT_LB142	GT_LB143	GT_LB145	GT_LB158	GT_Or2	GT_Or7	
12480b	X	X	5	4	3	9	1	6	1	4	X	7	1	145	X	X	1	5	13	19	482	10	39	1	1	12	X	6	X	X	1	2	130
12491	X	4	2	5	1	4	X	X	6	1	X	3	11	248	X	X	4	4	X	3	331	16	44	2	X	31	X	3	2	3	1	1	119
76697b	3	1	5	24	8	16	X	2	8	3	X	9	16	193	1	X	8	4	4	19	535	25	108	X	1	X	X	8	2	9	2	7	188
216906	8	X	1	4	X	3	1	1	1	9	5	3	4	190	X	X	8	1	X	5	136	5	22	3	X	2	X	4	X	X	X	4	73
207745	5	2	1	X	3	6	X	X	1	2	X	11	9	205	X	X	1	1	1	8	299	5	41	4	X	1	X	6	X	3	4	3	122
12528	4	X	X	8	X	2	1	5	1	2	3	15	4	276	X	X	X	X	8	X	515	6	29	4	1	33	X	1	1	1	3	3	234
12496	X	X	X	5	X	X	X	X	X	X	X	1	X	2	X	X	X	X	X	X	X	3	X	X	X	X	X	X	X	X	X	2	X
26457b	20	4	5	22	7	16	3	4	2	12	X	18	7	255	1	X	1	11	10	20	793	28	111	3	2	X	X	5	2	1	X	9	276
216931	3	X	1	6	X	3	X	1	1	4	1	4	5	72	X	X	4	1	X	2	39	3	18	1	X	22	X	X	X	1	1	3	46
6796	11	X	11	8	1	15	1	10	3	9	4	12	3	196	1	X	1	5	8	21	511	31	98	3	1	29	X	6	X	X	X	X	222
134097	4	X	3	6	2	5	X	2	2	3	7	4	1	180	2	X	2	7	2	24	705	9	78	2	X	2	X	1	X	2	X	6	225
12500b	4	3	11	8	3	11	2	8	3	11	1	7	3	289	X	X	1	6	1	13	830	19	88	2	1	3	X	7	2	X	2	8	268
16884b	10	X	180	18	2	20	1	7	4	7	X	15	8	355	X	X	3	5	X	9	857	25	107	1	3	3	X	2	1	1	2	8	289
37471	9	X	2	12	X	45	X	4	4	7	X	7	6	183	X	X	12	5	5	11	335	9	78	1	3	3	X	3	1	7	2	12	140
12503	2	X	5	16	1	19	1	2	6	6	1	6	4	148	X	X	6	3	3	3	371	15	73	X	4	X	X	X	X	3	X	3	141
32030	1	X	X	8	X	2	X	1	1	X	X	4	1	78	X	X	X	X	1	1	78	11	18	1	X	25	X	2	X	1	X	2	53
